governance_owner,platform_destination,readiness,qa_status,readiness_score,recommended_action,brand,current_brand,category,name,sku,ean,recoverable_fields,vitar_url,nasevitaminy_url
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,review,review,82,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,"Capri-Sun Multivitamin 0,33 l",50600043,4000177162316,,https://www.vitar.cz/capri-sun-multivitamin-0-33-l/,
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,review,review,72,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,"Capri-Sun Pomeranč + broskev 0,33 l",50183747,,,https://www.vitar.cz/capri-sun-pomeranc-broskev-0-33-l/,
Exclude / accessory decision,Do not import to main navigation until approved,blocked,blocked,58,exclude_from_main_or_accessories,Capri-Sun,Capri-Sun,Doplňky a merchandising,Capri-Sun Dětský batoh pejsek,39005056,3900505600000,,,https://www.nasevitaminy.cz/capri-sun-detsky-batoh
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,ready,ready,96,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,"Capri-Sun Fairy drink 0,2 l",40000003,4000177033487,,https://www.vitar.cz/capri-sun-fairy-drink-0-2-l/,https://www.nasevitaminy.cz/capri-sun-fairy-drink-0-2-l
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,ready,ready,96,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,"Capri-Sun Fun Alarm 0,2 l",40000142,4000177019276,,https://www.vitar.cz/capri-sun-monster-alarm-0-2-l/,https://www.nasevitaminy.cz/capri-sun-fun-alarm-0-2-l
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,enrich_from_other_source,ready,89,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,Capri-Sun Mango + maracuja,50600047,4000177172650,form,https://www.vitar.cz/capri-sun-mango-maracuja-0-33-l/,https://www.nasevitaminy.cz/capri-sun-mango-maracuja-0-33-l
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,ready,ready,91,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,Capri-Sun Multivitamin,50600043,4000177033708,,,https://www.nasevitaminy.cz/capri-sun-multivitamin-0-33-l
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,ready,ready,96,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,"Capri-Sun Multivitamin 0,2 l",40000102,4000177407509,,https://www.vitar.cz/capri-sun-multivitamin-0-2-l/,https://www.nasevitaminy.cz/capri-sun-multivitamin-0-2-l
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,ready,ready,96,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,"Capri-Sun Multivitamin Zero 0,2 l",40000015,4000177030035,,https://www.vitar.cz/capri-sun-multivitamin-zero-0-2-l/,https://www.nasevitaminy.cz/capri-sun-multivitamin-zero
VITAR.cz B2C/D2C,New VITAR.cz commerce platform,ready,ready,96,keep_as_drinks_portfolio_review,Capri-Sun,Capri-Sun,Nápoje a pitný režim,"Capri-Sun Mystic Dragon 0,2 l",40000122,4000177408100,,https://www.vitar.cz/capri-sun-mystic-dragon-0-2-l/,https://www.nasevitaminy.cz/capri-sun-mystic-dragon
