source_site,name,brand,sku,ean,price_czk,category,form,need_states,url,image
vitar.cz,OvoCé Nápoj v prášku - grep,OvoCé,43200102,8595011119916,,Nápoje a pitný režim,Prášek / sypká směs,,https://www.vitar.cz/ovoce-napoj-v-prasku-grep/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/o/v/ovoce_napoj_vitaminovy_grep.jpg
vitar.cz,OvoCé Nápoj v prášku - jahoda a malina,OvoCé,43200103,8595011119947,,Nápoje a pitný režim,Prášek / sypká směs,,https://www.vitar.cz/ovoce-napoj-v-prasku-jahoda-a-malina/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/o/v/ovoce_napoj_vitaminovy_jahoda-malina_1.jpg
vitar.cz,OvoCé Nápoj v prášku - pomeranč,OvoCé,43200100,8595011119886,,Nápoje a pitný režim,Prášek / sypká směs,,https://www.vitar.cz/ovoce-napoj-v-prasku-pomeranc/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/o/v/ovoce_napoj_vitaminovy_pomeranc.jpg
vitar.cz,Vitar Vitamin C,Vitar,43700003,8595011100082,,Imunita a nachlazení,Prášek / sypká směs,vitamin c,https://www.vitar.cz/vitar-vitamin-c/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/v/i/vitar_vitamin_c.jpg
vitar.cz,Vitar Soda (tablety),Vitar,43700001,8595011100068,,Trávení a detox,Tablety,,https://www.vitar.cz/vitar-soda-tablety/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/v/i/vitar_soda_tablety_1.jpg
vitar.cz,Vitar Soda (prášek),Vitar,43700002,8595011100099,,Trávení a detox,Prášek / sypká směs,,https://www.vitar.cz/vitar-soda-prasek/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/v/i/vitar_soda_prasek.jpg
vitar.cz,Vitar Vazelina - Aloe vera a bambucké máslo,Vitar,43400003,8595011117424,,"Krása, vlasy, pleť",Kosmetika,,https://www.vitar.cz/vitar-vazelina-aloe-vera-a-bambucke-maslo/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/3/d/3d_vazelina_aloevera_cz_lr_1000px_web.jpg
vitar.cz,Maxi Vita Exclusive Posílení imunity forte+,Maxi Vita,42300066,8595011127690,,Imunita a nachlazení,Tablety,vitamin c,https://www.vitar.cz/maxivita-exclusive-posileni-imunity-forte/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/4/2/42300066_mxvt_exclusive_pos_len__imunity_forte_45tbl_blistr_web.jpg
vitar.cz,Maxi Vita Exclusive Vápník–hořčík–zinek forte+,Maxi Vita,42300067,8595011128956,,Hořčík a minerály,Tablety,hořčík,https://www.vitar.cz/maxivita-exclusive-vapnik-horcik-zinek-forte/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/4/2/42300067_mxvt_exclusive_ca_mg_zn_forte_60tbl_blistr_web.jpg
vitar.cz,Maxi Vita Exclusive Magnézium forte+,Maxi Vita,42300068,8595011128987,,Hořčík a minerály,Tablety,hořčík,https://www.vitar.cz/maxivita-exclusive-magnezium-forte/,https://www.vitar.cz/media/catalog/product/cache/1/thumbnail/200x/9df78eab33525d08d6e5fb8d27136e95/4/2/42300068_mxvt_exclusive_magnezium_forte_60tbl_blistr_web.jpg
