qa_status,readiness_score,recommended_action,name,current_brand,proposed_brand,sku,ean,price_czk,current_category,proposed_category,category_confidence,current_form,proposed_form,form_confidence,active_ingredients_suggested,target_groups_suggested,diet_flags_suggested,critical_issues,warnings,vitar_url,nasevitaminy_url,cross_source_recoverable_fields,url
review,82,keep_as_drinks_portfolio_review,"Capri-Sun Multivitamin 0,33 l",Capri-Sun,Capri-Sun,50600043,4000177162316,,Děti,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,děti,,,"missing_price, category_recommended_change, missing_need_states",https://www.vitar.cz/capri-sun-multivitamin-0-33-l/,,,https://www.vitar.cz/capri-sun-multivitamin-0-33-l/
review,72,keep_as_drinks_portfolio_review,"Capri-Sun Pomeranč + broskev 0,33 l",Capri-Sun,Capri-Sun,50183747,,,Děti,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,děti,,,"missing_ean, missing_price, category_recommended_change, missing_need_states",https://www.vitar.cz/capri-sun-pomeranc-broskev-0-33-l/,,,https://www.vitar.cz/capri-sun-pomeranc-broskev-0-33-l/
blocked,58,exclude_from_main_or_accessories,Capri-Sun Dětský batoh pejsek,Capri-Sun,Capri-Sun,39005056,3900505600000,499.0,Nápoje a pitný režim,Doplňky a merchandising,medium,Neurčeno,Doplněk / merchandising,medium,,,,exclude_from_main_or_accessories,"form_inferred_needs_check, category_recommended_change, missing_need_states",,https://www.nasevitaminy.cz/capri-sun-detsky-batoh,,https://www.nasevitaminy.cz/capri-sun-detsky-batoh
ready,96,keep_as_drinks_portfolio_review,"Capri-Sun Fairy drink 0,2 l",Capri-Sun,Capri-Sun,40000003,4000177033487,13.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,,,,missing_need_states,https://www.vitar.cz/capri-sun-fairy-drink-0-2-l/,https://www.nasevitaminy.cz/capri-sun-fairy-drink-0-2-l,,https://www.nasevitaminy.cz/capri-sun-fairy-drink-0-2-l
ready,96,keep_as_drinks_portfolio_review,"Capri-Sun Fun Alarm 0,2 l",Capri-Sun,Capri-Sun,40000142,4000177019276,13.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,,,,missing_need_states,https://www.vitar.cz/capri-sun-monster-alarm-0-2-l/,https://www.nasevitaminy.cz/capri-sun-fun-alarm-0-2-l,,https://www.nasevitaminy.cz/capri-sun-fun-alarm-0-2-l
ready,89,keep_as_drinks_portfolio_review,Capri-Sun Mango + maracuja,Capri-Sun,Capri-Sun,50600047,4000177172650,31.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Neurčeno,Nápoj,medium,,,,,"form_inferred_needs_check, missing_need_states, missing_info_available_on_other_source",https://www.vitar.cz/capri-sun-mango-maracuja-0-33-l/,https://www.nasevitaminy.cz/capri-sun-mango-maracuja-0-33-l,form,https://www.nasevitaminy.cz/capri-sun-mango-maracuja-0-33-l
ready,91,keep_as_drinks_portfolio_review,Capri-Sun Multivitamin,Capri-Sun,Capri-Sun,50600043,4000177033708,31.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Neurčeno,Nápoj,medium,vitamin C,,,,"form_inferred_needs_check, missing_need_states",,https://www.nasevitaminy.cz/capri-sun-multivitamin-0-33-l,,https://www.nasevitaminy.cz/capri-sun-multivitamin-0-33-l
ready,96,keep_as_drinks_portfolio_review,"Capri-Sun Multivitamin 0,2 l",Capri-Sun,Capri-Sun,40000102,4000177407509,13.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,,,,missing_need_states,https://www.vitar.cz/capri-sun-multivitamin-0-2-l/,https://www.nasevitaminy.cz/capri-sun-multivitamin-0-2-l,,https://www.nasevitaminy.cz/capri-sun-multivitamin-0-2-l
ready,96,keep_as_drinks_portfolio_review,"Capri-Sun Multivitamin Zero 0,2 l",Capri-Sun,Capri-Sun,40000015,4000177030035,13.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,,bez cukru,,missing_need_states,https://www.vitar.cz/capri-sun-multivitamin-zero-0-2-l/,https://www.nasevitaminy.cz/capri-sun-multivitamin-zero,,https://www.nasevitaminy.cz/capri-sun-multivitamin-zero
ready,96,keep_as_drinks_portfolio_review,"Capri-Sun Mystic Dragon 0,2 l",Capri-Sun,Capri-Sun,40000122,4000177408100,13.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,,,,missing_need_states,https://www.vitar.cz/capri-sun-mystic-dragon-0-2-l/,https://www.nasevitaminy.cz/capri-sun-mystic-dragon,,https://www.nasevitaminy.cz/capri-sun-mystic-dragon
