id,name,brand,sku,ean,category,form,price_czk,vitar,nasevitaminy,ceskevitaminy,vitar_url,nasevitaminy_url,ceskevitaminy_url,recommendation,recommendation_reason,source_count,has_conflict
prd_077f431ae3bd,Capri-Sun Dětský batoh pejsek,Capri-Sun,39005056,3900505600000,Děti,Neurčeno,499,False,True,False,,https://www.nasevitaminy.cz/capri-sun-detsky-batoh,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,1,False
prd_5365d58389bd,"Capri-Sun Fairy Drink 0,2 l",Capri-Sun,40000003,4000177033487,Hydratace a nápoje,Nápoj,13.5,True,True,False,https://www.vitar.cz/capri-sun-fairy-drink-0-2-l/,https://www.nasevitaminy.cz/capri-sun-fairy-drink-0-2-l,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,2,False
prd_337ac70fc800,Capri-Sun láhev,Capri-Sun,39005057,3900505700000,Hydratace a nápoje,Neurčeno,169,False,True,False,,https://www.nasevitaminy.cz/capri-sun-lahev,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,1,False
prd_35a10b4bd4bc,"Capri-Sun Mango + maracuja 0,33 l",Capri-Sun,50600047,4000177172650,Hydratace a nápoje,Nápoj,31.5,True,True,False,https://www.vitar.cz/capri-sun-mango-maracuja-0-33-l/,https://www.nasevitaminy.cz/capri-sun-mango-maracuja-0-33-l,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,2,False
prd_e4609a570834,"Capri-Sun Monster Alarm 0,2 l",Capri-Sun,40000142,4000177019276,Hydratace a nápoje,Nápoj,13.5,True,True,False,https://www.vitar.cz/capri-sun-monster-alarm-0-2-l/,https://www.nasevitaminy.cz/capri-sun-fun-alarm-0-2-l,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,2,False
prd_6e967cabb248,"Capri-Sun Multivitamin 0,2 l",Capri-Sun,40000102,4000177407509,Hydratace a nápoje,Nápoj,13.5,True,True,False,https://www.vitar.cz/capri-sun-multivitamin-0-2-l/,https://www.nasevitaminy.cz/capri-sun-multivitamin-0-2-l,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,2,False
prd_2bd3051b759d,"Capri-Sun Multivitamin 0,33 l",Capri-Sun,50600043,4000177162316,Hydratace a nápoje,Nápoj,31.5,True,True,False,https://www.vitar.cz/capri-sun-multivitamin-0-33-l/,https://www.nasevitaminy.cz/capri-sun-multivitamin-0-33-l,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,2,True
prd_9e55c4a1d27f,"Capri-Sun Multivitamin Zero 0,2 l",Capri-Sun,40000015,4000177030035,Hydratace a nápoje,Nápoj,13.5,True,True,False,https://www.vitar.cz/capri-sun-multivitamin-zero-0-2-l/,https://www.nasevitaminy.cz/capri-sun-multivitamin-zero,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,2,False
prd_9758d3a221c7,"Capri-Sun Mystic Dragon 0,2 l",Capri-Sun,40000122,4000177408100,Hydratace a nápoje,Nápoj,13.5,True,True,False,https://www.vitar.cz/capri-sun-mystic-dragon-0-2-l/,https://www.nasevitaminy.cz/capri-sun-mystic-dragon,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,2,False
prd_104bef80646e,Capri-Sun osuška,Capri-Sun,39000011,3900001100000,Zrak,Neurčeno,399,False,True,False,,https://www.nasevitaminy.cz/capri-sun-osuska,,review,Portfolio je mimo hlavní health proposition; nutné obchodní rozhodnutí.,1,False
